"id";"host_id";"host_name";"neighbourhood_group";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"availability_365";"number_of_reviews_ltm"
2595;2845;"Jennifer";"Manhattan";"Midtown";40.75356;-73.98559;"Entire home/apt";225;30;48;"2019-11-04";0.31;308;0
5121;7356;"Garon";"Brooklyn";"Bedford-Stuyvesant";40.68535;-73.95512;"Private room";60;30;50;"2019-12-02";0.32;365;0
5136;7378;"Rebecca";"Brooklyn";"Sunset Park";40.66265;-73.99454;"Entire home/apt";275;21;2;"2021-08-08";0.02;250;1
5178;8967;"Shunichi";"Manhattan";"Midtown";40.76457;-73.98317;"Private room";68;2;536;"2022-05-09";3.37;172;62
5203;7490;"MaryEllen";"Manhattan";"Upper West Side";40.8038;-73.96751;"Private room";75;2;118;"2017-07-21";0.76;0;0
5295;7702;"Lena";"Manhattan";"Morningside Heights";40.80316;-73.96387;"Entire home/apt";135;30;56;"2021-08-22";0.35;30;1
5803;9744;"Laurie";"Brooklyn";"South Slope";40.66801;-73.98784;"Private room";118;4;211;"2022-05-18";1.32;312;26
6848;15991;"Allen & Irina";"Brooklyn";"Williamsburg";40.70935;-73.95342;"Entire home/apt";84;30;184;"2022-02-20";1.16;227;4
6872;16104;"Kae";"Manhattan";"East Harlem";40.80107;-73.94255;"Private room";65;30;0;"";0.0;334;0
6990;16800;"Cyn";"Manhattan";"East Harlem";40.78778;-73.94759;"Private room";62;30;238;"2022-05-10";1.55;254;5
7064;17297;"Joelle";"Brooklyn";"Williamsburg";40.71248;-73.95881;"Private room";90;7;9;"2015-08-31";0.06;5;0
7097;17571;"Jane";"Brooklyn";"Fort Greene";40.691083;-73.972544;"Entire home/apt";199;2;294;"2022-05-21";1.95;273;44
7801;21207;"Chaya";"Brooklyn";"Williamsburg";40.71778;-73.9568;"Entire home/apt";395;30;9;"2011-12-28";0.06;348;0
8490;25183;"Nathalie";"Brooklyn";"Bedford-Stuyvesant";40.68462;-73.93839;"Entire home/apt";135;2;149;"2022-04-08";0.96;260;19
9357;30193;"Tommi";"Manhattan";"Hell's Kitchen";40.76724;-73.98664;"Entire home/apt";175;30;58;"2017-08-13";0.38;0;0
9704;32045;"Teri";"Manhattan";"Harlem";40.81317;-73.95465;"Private room";55;30;98;"2020-03-14";1.01;116;0
10452;35935;"Angela";"Brooklyn";"Bedford-Stuyvesant";40.68294;-73.95682;"Private room";82;30;80;"2022-05-23";0.54;263;4
10962;9744;"Laurie";"Brooklyn";"South Slope";40.66692;-73.98981;"Private room";119;4;204;"2022-05-10";1.32;284;22
11943;45445;"Harriet";"Brooklyn";"Flatbush";40.63702;-73.96327;"Private room";150;30;0;"";0.0;0;0
12192;46978;"Edward";"Manhattan";"East Village";40.72296;-73.98383;"Private room";75;7;274;"2022-05-07";1.79;24;9
12937;50124;"Orestes";"Queens";"Long Island City";40.74757;-73.94571;"Private room";140;3;325;"2022-05-28";2.23;124;40
12940;50148;"Adreinne";"Brooklyn";"Bedford-Stuyvesant";40.67946;-73.95417;"Entire home/apt";119;30;72;"2021-08-31";0.47;186;2
13121;27848;"Jullett";"Queens";"Jamaica";40.67144;-73.76501;"Private room";75;2;70;"2021-09-06";0.49;363;5
13808;54275;"JT And Tiziana";"Brooklyn";"Bedford-Stuyvesant";40.68064;-73.94039;"Private room";80;2;163;"2022-05-09";1.12;208;19
14290;56104;"James";"Brooklyn";"Williamsburg";40.70348;-73.93621;"Entire home/apt";248;1;140;"2022-05-19";0.92;104;34
14314;56246;"Jeanne";"Brooklyn";"Greenpoint";40.73535;-73.95584;"Entire home/apt";99;30;179;"2020-08-16";1.18;276;0
14434;7356;"Garon";"Brooklyn";"Bedford-Stuyvesant";40.68777;-73.94976;"Private room";70;30;59;"2021-10-11";0.4;326;1
15220;59734;"Luiz";"Manhattan";"Hell's Kitchen";40.75611;-73.99523;"Private room";86;2;368;"2022-05-13";2.43;235;43
15341;60049;"Ted";"Manhattan";"Lower East Side";40.721359;-73.993668;"Entire home/apt";229;2;31;"2022-03-30";0.29;3;5
15385;60252;"Cristina";"Brooklyn";"Williamsburg";40.71211;-73.96397;"Private room";80;7;49;"2020-02-07";0.33;123;0
15396;60278;"Petra";"Manhattan";"Chelsea";40.74493;-73.99521;"Entire home/apt";400;30;5;"2018-11-03";0.07;61;0
15711;61491;"D";"Manhattan";"Upper East Side";40.77119;-73.95241;"Entire home/apt";206;30;84;"2020-11-29";0.56;165;0
16326;63588;"Dimitri";"Brooklyn";"Prospect Heights";40.67839;-73.96642;"Entire home/apt";140;30;154;"2021-11-06";1.08;3;2
16338;63613;"Patricia";"Brooklyn";"Clinton Hill";40.69121;-73.96804;"Private room";55;21;29;"2021-02-28";0.19;216;0
16580;64442;"Reka";"Manhattan";"East Village";40.72489;-73.9781;"Private room";138;1;458;"2022-05-20";4.28;224;32
16595;64522;"Ariel";"Brooklyn";"Williamsburg";40.7092;-73.96641;"Entire home/apt";500;1;229;"2022-05-23";1.62;364;32
16821;4396;"Casey";"Manhattan";"East Village";40.72281;-73.98501;"Private room";169;1;150;"2022-05-15";1.26;37;28
16974;65837;"Robin";"Manhattan";"East Harlem";40.8019;-73.93762;"Entire home/apt";250;5;247;"2022-05-24";1.63;70;26
17037;66035;"Anna";"Manhattan";"East Village";40.72289;-73.98028;"Entire home/apt";220;30;53;"2020-03-18";0.36;61;0
17693;68428;"Tye And Etienne";"Manhattan";"Washington Heights";40.83253;-73.94108;"Private room";75;2;62;"2022-04-24";0.94;318;2
18152;69942;"Victoria";"Manhattan";"Upper East Side";40.76967;-73.94831;"Private room";200;30;148;"2019-09-01";1.14;365;0
18728;71876;"DAVID And RICK";"Manhattan";"Chelsea";40.74261;-74.00353;"Private room";175;4;212;"2022-06-02";1.55;271;27
18961;70857;"Fabian";"Manhattan";"Kips Bay";40.73808;-73.98001;"Private room";95;30;1;"2016-03-22";0.01;0;0
19159;73051;"Sybilla";"Manhattan";"Harlem";40.82817;-73.95133;"Entire home/apt";110;180;58;"2020-09-01";0.4;276;0
19812;74857;"Starlee";"Brooklyn";"Williamsburg";40.71802;-73.95724;"Entire home/apt";105;30;61;"2018-08-09";0.41;191;0
20913;79402;"Christiana";"Brooklyn";"Williamsburg";40.70967;-73.95922;"Entire home/apt";80;30;168;"2018-07-22";1.18;0;0
21456;42032;"Dana";"Manhattan";"Upper West Side";40.79936;-73.96155;"Private room";88;30;85;"2021-09-12";0.57;157;2
21644;82685;"Elliott";"Manhattan";"Harlem";40.82782;-73.9473;"Private room";99;30;3;"2019-10-21";0.07;0;0
21794;83257;"Olan";"Manhattan";"Chelsea";40.74187;-74.00223;"Private room";85;30;36;"2020-01-19";0.25;186;0
23135;11481;"Annette";"Brooklyn";"Carroll Gardens";40.67747;-74.00146;"Entire home/apt";189;3;280;"2022-05-19";1.91;343;21
23686;93790;"Ann";"Manhattan";"West Village";40.72961;-74.00308;"Entire home/apt";620;7;54;"2022-05-15";0.45;228;4
24285;97797;"Brandon";"Brooklyn";"Park Slope";40.67115;-73.98026;"Entire home/apt";220;30;92;"2021-12-11";0.63;207;3
25406;105538;"Erik";"Brooklyn";"Williamsburg";40.71649;-73.94865;"Entire home/apt";83;30;29;"2018-05-26";0.27;0;0
25696;107628;"Dena";"Manhattan";"Harlem";40.8104;-73.94309;"Private room";100;1;190;"2020-01-01";1.35;0;0
26362;59734;"Luiz";"Manhattan";"Hell's Kitchen";40.75603;-73.99294;"Private room";79;2;447;"2022-05-20";3.05;259;61
26785;42273;"Dani";"Brooklyn";"South Slope";40.6686;-73.98723;"Entire home/apt";90;30;479;"2022-05-31";3.28;35;5
27006;115560;"Stacy";"Manhattan";"Upper West Side";40.77839;-73.97778;"Entire home/apt";225;30;28;"2019-07-12";0.21;286;0
